parameter,display_name,display_name_zh,unit,reference_value,min_value,max_value,improvement_direction,source_type,source_id,price_year,denominator_definition,denominator_definition_zh,notes,notes_zh
delivered_capacity_mw,Delivered grid capacity,电网交付容量,MW-delivered AC,2000,500,5000,higher,exploratory,ASSUMPTION_THIS_STUDY,n/a,AC power at the grid connection point,并网点交流电功率,Scale input; the simplified model is nearly scale-neutral.,规模输入；简化模型近似规模中性。
solar_conversion_efficiency,Solar-to-DC conversion efficiency,太阳能至直流转换效率,fraction,0.35,0.20,0.45,higher,exploratory,ASSUMPTION_THIS_STUDY,n/a,Incident solar power to space DC-bus output,入射太阳功率至空间直流母线输出,Architecture-dependent exploratory value; not an independently verified flight-system value.,取决于架构的探索值；并非经独立验证的飞行系统数值。
dc_to_rf_efficiency,DC-to-RF efficiency,直流至射频效率,fraction,0.70,0.40,0.85,higher,exploratory,ASSUMPTION_THIS_STUDY,n/a,Space DC-bus input to emitted RF power,空间直流母线输入至射频发射功率,Excludes propagation and rectenna conversion losses.,不含传播和整流天线转换损耗。
transmission_efficiency,RF transmission efficiency,射频传输效率,fraction,0.98,0.85,0.995,higher,exploratory,ASSUMPTION_THIS_STUDY,n/a,Emitted RF power to RF incident on the rectenna,射频发射功率至整流天线入射射频功率,Simplified beam-capture proxy; beam geometry sidelobes weather and safety constraints are not explicitly modelled.,简化的波束捕获代理；未显式建模波束几何旁瓣天气及安全约束。
rectenna_conversion_efficiency,Rectenna RF-to-DC efficiency,整流天线射频至直流效率,fraction,0.65,0.40,0.85,higher,exploratory,ASSUMPTION_THIS_STUDY,n/a,Incident RF power at rectenna to rectenna DC output,整流天线入射射频功率至直流输出,Exploratory system-average conversion proxy.,探索性的系统平均转换代理。
grid_conversion_efficiency,DC-to-grid AC efficiency,直流至并网交流效率,fraction,0.96,0.90,0.99,higher,exploratory,ASSUMPTION_THIS_STUDY,n/a,Rectenna DC output to AC at the grid connection point,整流天线直流输出至并网点交流功率,Includes simplified inversion and local electrical losses only.,仅包含简化逆变及本地电气损耗。
capacity_factor,Delivered capacity factor,交付容量因子,fraction,0.90,0.60,0.98,higher,exploratory,ASSUMPTION_THIS_STUDY,n/a,Annual AC energy divided by rated delivered AC capacity times 8760,年度交流电量除以额定交付交流容量与8760小时的乘积,Combines availability outages and operating constraints; not a measured forecast.,综合可用率停机与运行约束；并非实测预测。
operating_lifetime_years,Operating lifetime after commissioning,投运后运行寿命,years,30,15,45,higher,exploratory,ASSUMPTION_THIS_STUDY,n/a,Full operating years after commissioning,调试完成后的完整运行年数,Engineering retirement and economic life are simplified into one duration.,工程退役与经济寿命被简化为同一时长。
real_discount_rate,Real project discount rate,实际项目贴现率,fraction,0.065,0.03,0.20,lower,exploratory,ASSUMPTION_THIS_STUDY,2024 real GBP,Discounting from start of construction t=0,从建设开始t=0时点贴现,Not an observed SBSP WACC; tax financing tranches and inflation are excluded.,并非实测SBSP加权资本成本；不含税务融资分层与通胀。
construction_duration_years,Construction duration,建设期,years,4,0,8,lower,exploratory,ASSUMPTION_THIS_STUDY,n/a,Years from valuation base to commissioning,从估值基准时点至调试完成的年数,Default uses equal annual spend shares; project-specific scheduling is not represented.,默认采用年度等额支出；未体现项目特定进度。
annual_output_degradation_fraction,Annual delivered-output degradation,年度交付出力衰减,fraction/year,0.005,0,0.03,lower,exploratory,ASSUMPTION_THIS_STUDY,n/a,Year-on-year reduction in delivered AC energy after the first operating year,首个运行年后交付交流电量的逐年降幅,Simplified fleet-average degradation proxy.,简化的系统平均衰减代理。
system_specific_mass_kg_per_kw_delivered,System specific mass,系统比质量,kg/kW-delivered,5.0,0.5,10.0,lower,exploratory,ASSUMPTION_THIS_STUDY,n/a,Complete operational orbital hardware mass per kW delivered AC at the grid boundary,每千瓦并网交流交付功率对应的完整在轨运行硬件质量,Delivered-power basis; never divide by efficiency again. Published values can be architecture-specific or manufacturer-claimed.,交付功率口径；不得再次除以效率。公开数值可能取决于架构或来自厂商声明。
space_generation_hardware_cost_gbp_per_w_dc,Space-generation hardware cost,空间发电硬件成本,GBP/W-DC,0.40,0.05,5.00,lower,exploratory,ASSUMPTION_THIS_STUDY,2024 real GBP,Space DC-bus rated output excluding RF transmitter hardware,空间直流母线额定输出且不含射频发射硬件,Includes collection structure conversion and DC conditioning only; boundary is mutually exclusive with transmitter cost.,仅含采集结构转换和直流调理；与发射机成本边界互斥。
transmitter_cost_gbp_per_w_rf_emitted,RF transmitter hardware cost,射频发射硬件成本,GBP/W-RF emitted,0.10,0.02,1.00,lower,exploratory,ASSUMPTION_THIS_STUDY,2024 real GBP,Emitted RF rated power excluding generation and DC-bus hardware,射频额定发射功率且不含发电与直流母线硬件,Includes only DC-to-RF and aperture hardware; no generation hardware is counted here.,仅含直流至射频转换和发射孔径硬件；不重复计入发电硬件。
launch_cost_gbp_per_kg_to_staging_orbit,Launch service cost to staging orbit,至集结轨道发射服务成本,GBP/kg to staging orbit,500,20,5000,lower,exploratory,ASSUMPTION_THIS_STUDY,2024 real GBP,Operational orbital hardware mass delivered to the defined LEO staging boundary,交付至指定近地集结轨道边界的运行轨道硬件质量,Not a GEO delivery quotation; procurement cadence integration and destination materially affect price.,并非地球同步轨道交付报价；采购节奏集成与目的轨道会显著影响价格。
launch_price_gbp_per_flight,Launch price per flight,单次发射价格,GBP/flight,100000000,10000000,300000000,lower,exploratory,ASSUMPTION_THIS_STUDY,2024 real GBP,One mutually exclusive launch flight to the staging orbit,一次至集结轨道且与按公斤计价互斥的发射,Used only when per-flight mode is active; never added to per-kg launch cost.,仅在按次计价模式启用时使用；绝不与按公斤成本相加。
effective_payload_kg_per_flight,Effective payload per flight,单次有效载荷,kg/flight,100000,20000,250000,higher,exploratory,ASSUMPTION_THIS_STUDY,n/a,Maximum manifested hardware mass reaching the staging orbit per flight,每次到达集结轨道的最大配载硬件质量,Vehicle and orbit dependent; used for launch-count diagnostics in both modes.,取决于运载器与轨道；两种计价模式均用于发射次数诊断。
payload_utilisation_fraction,Payload utilisation,载荷利用率,fraction,0.85,0.50,1.00,higher,exploratory,ASSUMPTION_THIS_STUDY,n/a,Average used fraction of effective payload capability,有效载荷能力的平均使用比例,Does not model packaging volume schedule or rideshare constraints.,未建模包装体积进度或拼单限制。
orbit_transfer_cost_gbp_per_kg_final_hardware,Staging-to-operational-orbit transfer cost,集结至运行轨道转移成本,GBP/kg final hardware,100,0,3000,lower,exploratory,ASSUMPTION_THIS_STUDY,2024 real GBP,Final operational hardware moved from staging orbit to operational orbit,从集结轨道转移至运行轨道的最终运行硬件,Must cover transfer vehicle propellant refuelling missions operations and payload penalty; a low value does not prove cheap HEO delivery.,必须覆盖转移器推进剂补给任务运行及载荷惩罚；低值不能证明高轨交付低廉。
in_orbit_assembly_cost_gbp_per_kg_operational_hardware,In-orbit assembly and deployment cost,在轨组装与部署成本,GBP/kg operational hardware,200,0,3000,lower,exploratory,ASSUMPTION_THIS_STUDY,2024 real GBP,Operational orbital hardware assembled deployed and commissioned,完成组装部署与调试的运行轨道硬件,Exploratory allowance; robotic operations inspection spares and commissioning are bundled.,探索性预留；机器人作业检查备件和调试被捆绑处理。
rectenna_cost_gbp_per_w_delivered,Rectenna cost,整流天线成本,GBP/W-delivered AC,0.15,0.02,1.00,lower,exploratory,ASSUMPTION_THIS_STUDY,2024 real GBP,Rated AC power delivered at the grid boundary,并网边界额定交流交付功率,Bundled proxy; antenna area frequency beam geometry sidelobes power-density land weather and safety are not explicit.,捆绑代理；未显式建模天线面积频率波束几何旁瓣功率密度土地天气和安全。
grid_connection_cost_gbp_per_kw_delivered,Grid connection cost,并网成本,GBP/kW-delivered AC,100,20,300,lower,exploratory,ASSUMPTION_THIS_STUDY,2024 real GBP,Rated AC power at the grid connection point,并网点额定交流功率,Simplified local connection allowance; wider transmission reinforcement is excluded.,简化的本地并网预留；不含更广泛输电网增强。
programme_contingency_fraction,Initial programme contingency,初始项目预备费,fraction of pre-contingency initial CAPEX,0.20,0,0.50,lower,exploratory,ASSUMPTION_THIS_STUDY,2024 real GBP,Applied once to pre-contingency initial construction CAPEX,仅一次应用于预备费前初始建设资本开支,Not applied recursively to annual O&M or replacement allowances.,不递归应用于年度运维或更换预留。
space_hardware_replacement_rate_per_year,Space-hardware replacement rate,空间硬件更换率,fraction/year,0.006,0,0.03,lower,exploratory,ASSUMPTION_THIS_STUDY,2024 real GBP,Fraction of eligible space hardware plus associated launch transfer and assembly cost replaced each year,每年更换的合格空间硬件及其相关发射转移和组装成本比例,Simplified annual equivalent rather than discrete failure and logistics scheduling.,以简化年度等效方式处理而非离散故障与物流排程。
ground_hardware_replacement_rate_per_year,Ground-hardware replacement rate,地面硬件更换率,fraction/year,0.003,0,0.02,lower,exploratory,ASSUMPTION_THIS_STUDY,2024 real GBP,Fraction of eligible rectenna and grid cost replaced each year,每年更换的合格整流天线与并网成本比例,Does not model component-specific replacement intervals.,未建模各部件特定更换周期。
